date,value
8/8/2018,82.66
8/7/2018,82.29
8/6/2018,82.33
8/3/2018,82.17
8/2/2018,82.73
8/1/2018,83.06
7/31/2018,82.26
7/30/2018,82.15
7/27/2018,82.03
7/26/2018,82.73
7/25/2018,82.51
7/24/2018,82.18
7/23/2018,82.65
7/20/2018,82.73
7/19/2018,83.5
7/18/2018,83.4
7/17/2018,83.33
7/16/2018,83.4
7/13/2018,83.35
7/12/2018,82.51
7/11/2018,82.7
7/10/2018,82.77
7/9/2018,82.07
7/6/2018,81.74
7/5/2018,81.63
7/4/2018,81.68
7/3/2018,81.42
7/2/2018,81.98
6/29/2018,81.24
6/28/2018,80.92
6/27/2018,81.35
6/26/2018,81.37
6/25/2018,81.81
6/22/2018,81.16
6/21/2018,81.3
6/20/2018,81.22
6/19/2018,82.08
6/18/2018,82.35
6/15/2018,82.74
6/14/2018,83.63
6/13/2018,83.57
6/12/2018,83.72
6/11/2018,83.24
6/8/2018,83.64
6/7/2018,84.48
6/6/2018,83.61
6/5/2018,83.98
6/4/2018,82.91
6/1/2018,82.34
5/31/2018,82.5
5/30/2018,81.64
5/29/2018,82.57
5/28/2018,82.58
5/25/2018,82.78
5/24/2018,83.22
5/23/2018,84
5/22/2018,84.18
5/21/2018,83.17
5/18/2018,83.24
5/17/2018,82.98
5/16/2018,82.46
5/15/2018,82.51
5/14/2018,82.5
5/11/2018,82.39
5/10/2018,81.89
5/9/2018,81.34
5/8/2018,82.01
5/7/2018,82.27
5/4/2018,82.25
5/3/2018,82.31
5/2/2018,82.28
5/1/2018,82.34
4/30/2018,82.69
4/27/2018,82.57
4/26/2018,82.78
4/25/2018,82.75
4/24/2018,82.62
4/23/2018,82.59
4/20/2018,82.98
4/19/2018,83.45
4/18/2018,83.1
4/17/2018,83.33
4/16/2018,83.35
4/13/2018,83.21
4/12/2018,82.84
4/11/2018,83.21
4/10/2018,82.2
4/9/2018,82.06
4/6/2018,82.5
4/5/2018,82.4
4/4/2018,81.9
4/3/2018,81.1
4/2/2018,81.66
3/30/2018,81.72
3/29/2018,81.84
3/28/2018,80.91
3/27/2018,81.63
3/26/2018,80.62
3/23/2018,80.95
3/22/2018,82.35
3/21/2018,81.85
3/20/2018,81.87
3/19/2018,81.74
3/16/2018,82.93
3/15/2018,83.76
3/14/2018,83.73
3/13/2018,83.78
3/12/2018,83.82
3/9/2018,82.73
3/8/2018,82.98
3/7/2018,83.09
3/6/2018,82.43
3/5/2018,82.01
3/2/2018,82.4
3/1/2018,82.81
2/28/2018,83.61
2/27/2018,83.97
2/26/2018,83.79
2/23/2018,83.69
2/22/2018,84.11
2/21/2018,84.6
2/20/2018,84.34
2/19/2018,84.07
2/16/2018,84.31
2/15/2018,84.83
2/14/2018,84.73
2/13/2018,85.37
2/12/2018,85
2/9/2018,84.6
2/8/2018,85.53
2/7/2018,86.63
2/6/2018,85.94
2/5/2018,87.27
2/2/2018,87.98
2/1/2018,87.95
1/31/2018,87.92
1/30/2018,88.2
1/29/2018,88.06
1/26/2018,87.8
1/25/2018,88.06
1/24/2018,88.21
1/23/2018,88.93
1/22/2018,88.58
1/19/2018,88.91
1/18/2018,88.68
1/17/2018,87.94
1/16/2018,88.04
1/15/2018,87.9
1/12/2018,87.81
1/11/2018,87.41
1/10/2018,88.11
1/9/2018,88.69
1/8/2018,88.89
1/5/2018,88.59
1/4/2018,88.17
1/3/2018,87.92
1/2/2018,87.94
1/1/2018,87.96
12/29/2017,88.01
12/28/2017,88.05
12/27/2017,87.51
12/26/2017,87.38
12/25/2017,87.36
12/22/2017,87.29
12/21/2017,86.94
12/20/2017,86.49
12/19/2017,86.28
12/18/2017,86.09
12/15/2017,86.17
12/14/2017,85.89
12/13/2017,85.83
12/12/2017,85.46
12/11/2017,85.2
12/8/2017,84.94
12/7/2017,84.93
12/6/2017,85.64
12/5/2017,85.42
12/4/2017,85.43
12/1/2017,85.14
11/30/2017,84.72
11/29/2017,84.67
11/28/2017,84.46
11/27/2017,84.98
11/24/2017,84.81
11/23/2017,84.7
11/22/2017,85.22
11/21/2017,85.02
11/20/2017,84.82
11/17/2017,85.77
11/16/2017,85.66
11/15/2017,86.57
11/14/2017,86.61
11/13/2017,86.9
11/10/2017,87.43
11/9/2017,87.43
11/8/2017,87.09
11/7/2017,87.46
11/6/2017,87.25
11/3/2017,87.98
11/2/2017,87.63
11/1/2017,87.01
10/31/2017,87.02
10/30/2017,87.27
10/27/2017,87.32
10/26/2017,87.63
10/25/2017,88.57
10/24/2017,88.55
10/23/2017,88.72
10/20/2017,88.67
10/19/2017,88.62
10/18/2017,88.03
10/17/2017,88.08
10/16/2017,88.2
10/13/2017,87.81
10/12/2017,87.63
10/11/2017,87.47
10/10/2017,87.37
10/9/2017,87.56
10/6/2017,87.93
10/5/2017,88.68
10/4/2017,88.42
10/3/2017,88.25
10/2/2017,88.11
9/29/2017,88.27
9/28/2017,88.48
9/27/2017,88.51
9/26/2017,88.66
9/25/2017,89.15
9/22/2017,89.23
9/21/2017,90.13
9/20/2017,89.39
9/19/2017,88.79
9/18/2017,88.68
9/15/2017,88.24
9/14/2017,88.24
9/13/2017,88.35
9/12/2017,87.81
9/11/2017,86.87
9/8/2017,87.28
9/7/2017,87.38
9/6/2017,86.99
9/5/2017,87.2
9/4/2017,87.92
9/1/2017,87.4
8/31/2017,87.15
8/30/2017,87.26
8/29/2017,87
8/28/2017,86.75
8/25/2017,86.63
8/24/2017,86.21
8/23/2017,86.69
8/22/2017,86.52
8/21/2017,86.59
8/18/2017,86.41
