date,value
11/19/1993,0.5495
11/22/1993,0.5476
11/23/1993,0.5488
11/24/1993,0.5498
11/26/1993,0.5471
11/29/1993,0.5449
11/30/1993,0.5468
12/1/1993,0.547
12/2/1993,0.5489
12/3/1993,0.5495
12/6/1993,0.5513
12/7/1993,0.551
12/8/1993,0.5544
12/9/1993,0.5549
12/10/1993,0.5556
12/13/1993,0.5539
12/14/1993,0.5566
12/15/1993,0.5595
12/16/1993,0.561
12/17/1993,0.5623
12/20/1993,0.5612
12/21/1993,0.5613
12/22/1993,0.5619
12/23/1993,0.5585
12/27/1993,0.559
12/28/1993,0.5599
12/29/1993,0.5577
12/30/1993,0.5581
12/31/1993,0.5598
1/3/1994,0.5598
1/4/1994,0.5614
1/5/1994,0.5594
1/6/1994,0.5567
1/7/1994,0.5569
1/10/1994,0.5586
1/11/1994,0.5593
1/12/1994,0.5591
1/13/1994,0.5572
1/14/1994,0.5584
1/17/1994,0.5598
1/18/1994,0.5636
1/19/1994,0.5654
1/20/1994,0.5645
1/21/1994,0.5662
1/24/1994,0.5665
1/25/1994,0.5683
1/26/1994,0.568
1/27/1994,0.5681
1/28/1994,0.5678
1/31/1994,0.5684
2/1/1994,0.5729
2/2/1994,0.5727
2/3/1994,0.571
2/4/1994,0.5711
2/7/1994,0.573
2/8/1994,0.5735
2/9/1994,0.5757
2/10/1994,0.5752
2/11/1994,0.5738
2/14/1994,0.5716
2/15/1994,0.5734
2/16/1994,0.5753
2/17/1994,0.5759
2/18/1994,0.5739
2/22/1994,0.5795
2/23/1994,0.58
2/24/1994,0.5786
2/25/1994,0.5772
2/28/1994,0.5761
3/1/1994,0.5753
3/2/1994,0.5709
3/3/1994,0.5711
3/4/1994,0.5735
3/7/1994,0.5764
3/8/1994,0.5746
3/9/1994,0.575
3/10/1994,0.571
3/11/1994,0.5742
3/14/1994,0.5758
3/15/1994,0.5772
3/16/1994,0.5774
3/17/1994,0.5747
3/18/1994,0.5735
3/21/1994,0.5695
3/22/1994,0.5692
3/23/1994,0.5694
3/24/1994,0.5656
3/25/1994,0.567
3/28/1994,0.569
3/29/1994,0.5661
3/30/1994,0.5626
3/31/1994,0.5624
4/4/1994,0.5625
4/5/1994,0.5646
4/6/1994,0.5681
4/7/1994,0.57
4/8/1994,0.5703
4/11/1994,0.5699
4/12/1994,0.5683
4/13/1994,0.5661
4/14/1994,0.567
4/15/1994,0.5689
4/18/1994,0.5671
4/19/1994,0.5664
4/20/1994,0.5663
4/21/1994,0.5705
4/22/1994,0.5736
4/25/1994,0.5748
4/26/1994,0.5739
4/28/1994,0.5762
4/29/1994,0.5774
5/2/1994,0.5764
5/3/1994,0.5754
5/4/1994,0.5767
5/5/1994,0.5786
5/6/1994,0.5769
5/9/1994,0.5793
5/10/1994,0.5802
5/11/1994,0.5797
5/12/1994,0.5825
5/13/1994,0.5839
5/16/1994,0.5865
5/17/1994,0.5863
5/18/1994,0.5868
5/19/1994,0.5865
5/20/1994,0.5871
5/23/1994,0.5889
5/24/1994,0.5883
5/25/1994,0.5887
5/26/1994,0.5894
5/27/1994,0.5884
5/31/1994,0.5949
6/1/1994,0.5934
6/2/1994,0.594
6/3/1994,0.5944
6/6/1994,0.5918
6/7/1994,0.5915
6/8/1994,0.5906
6/9/1994,0.5884
6/10/1994,0.5896
6/13/1994,0.5898
6/14/1994,0.5868
6/15/1994,0.5872
6/16/1994,0.589
6/17/1994,0.5923
6/20/1994,0.5941
6/21/1994,0.5959
6/22/1994,0.5923
6/23/1994,0.5907
6/24/1994,0.5889
6/27/1994,0.5914
6/28/1994,0.593
6/29/1994,0.595
6/30/1994,0.5947
7/1/1994,0.5979
7/5/1994,0.5936
7/6/1994,0.5984
7/7/1994,0.5976
7/8/1994,0.6038
7/11/1994,0.606
7/12/1994,0.6058
7/13/1994,0.6058
7/14/1994,0.5979
7/15/1994,0.599
7/18/1994,0.5974
7/19/1994,0.6008
7/20/1994,0.6013
7/21/1994,0.606
7/22/1994,0.6059
7/25/1994,0.6053
7/26/1994,0.6045
7/27/1994,0.6018
7/28/1994,0.6016
7/29/1994,0.6021
8/1/1994,0.6025
8/2/1994,0.6014
8/3/1994,0.5998
8/4/1994,0.603
8/5/1994,0.6049
8/8/1994,0.6026
8/9/1994,0.6007
8/10/1994,0.5999
8/11/1994,0.6017
8/12/1994,0.5989
8/15/1994,0.6016
8/16/1994,0.6009
8/17/1994,0.5989
8/18/1994,0.601
8/19/1994,0.5994
8/22/1994,0.6001
8/23/1994,0.6015
8/24/1994,0.6029
8/25/1994,0.6035
8/26/1994,0.6029
8/29/1994,0.6024
8/30/1994,0.6025
8/31/1994,0.6024
9/1/1994,0.6041
9/2/1994,0.6061
9/6/1994,0.6039
9/7/1994,0.6067
9/8/1994,0.605
9/9/1994,0.6035
9/12/1994,0.6027
9/13/1994,0.6039
9/14/1994,0.6033
9/15/1994,0.6034
9/16/1994,0.604
9/19/1994,0.6035
9/20/1994,0.6034
9/21/1994,0.5999
9/22/1994,0.6009
9/23/1994,0.6029
9/26/1994,0.6025
9/27/1994,0.6014
9/28/1994,0.602
9/29/1994,0.6037
9/30/1994,0.6019
