,Localtime,Open,High,Low,Close,Volume,strtime,index2
98,2019-09-18 15:18:00,221.708,221.33681538461545,221.657,221.69799999999998,1.6975,09/18 15:18,6
99,2019-09-18 15:19:00,221.697,223.31681538461535,221.687,222.028,2.3825,09/18 15:19,6
100,2019-09-18 15:20:00,222.028,223.61681538461542,221.997,222.11700000000002,2.18,09/18 15:20,6
101,2019-09-18 15:21:00,222.108,223.85081538461552,221.908,221.908,1.9725,09/18 15:21,6
102,2019-09-18 15:22:00,221.918,222.59681538461533,221.827,221.878,1.565,09/18 15:22,6
103,2019-09-18 15:23:00,221.888,222.23681538461548,221.748,221.77700000000002,1.97,09/18 15:23,6
104,2019-09-18 15:24:00,221.78799999999998,222.65681538461544,221.738,221.918,1.1375,09/18 15:24,6
105,2019-09-18 15:25:00,221.928,222.95681538461534,221.89700000000002,221.998,2.11,09/18 15:25,7
106,2019-09-18 15:26:00,222.00799999999998,223.97081538461558,221.997,222.11700000000002,2.3525,09/18 15:26,7
107,2019-09-18 15:27:00,222.127,223.73681538461548,222.007,222.108,1.95,09/18 15:27,7
108,2019-09-18 15:28:00,222.128,223.85681538461537,222.05700000000002,222.06799999999998,1.595,09/18 15:28,7
109,2019-09-18 15:29:00,222.088,223.55681538461548,221.967,221.987,1.865,09/18 15:29,7
110,2019-09-18 15:30:00,221.998,223.97681538461543,221.97799999999998,222.00799999999998,2.2875,09/18 15:30,7
111,2019-09-18 15:31:00,222.028,223.55681538461548,221.94799999999998,222.018,1.6875,09/18 15:31,7
112,2019-09-18 15:32:00,222.018,224.69681538461546,222.018,222.197,2.69,09/18 15:32,7
113,2019-09-18 15:33:00,222.217,225.77681538461533,222.19799999999998,222.458,2.8075,09/18 15:33,7
114,2019-09-18 15:34:00,222.438,226.67681538461537,222.417,222.597,2.9275,09/18 15:34,7
115,2019-09-18 15:35:00,222.59799999999998,227.63681538461535,222.467,222.618,3.1525,09/18 15:35,7
116,2019-09-18 15:36:00,222.627,227.09681538461533,222.118,222.148,3.145,09/18 15:36,7
117,2019-09-18 15:37:00,222.188,224.21081538461553,222.06799999999998,222.108,2.3225,09/18 15:37,7
118,2019-09-18 15:38:00,222.128,225.11081538461556,222.127,222.308,2.9375,09/18 15:38,7
119,2019-09-18 15:39:00,222.31799999999998,225.47681538461543,222.297,222.297,1.5925,09/18 15:39,7
120,2019-09-18 15:40:00,222.278,225.65681538461544,222.22799999999998,222.428,1.7275,09/18 15:40,8
121,2019-09-18 15:41:00,222.438,226.85681538461537,222.407,222.477,3.3175,09/18 15:41,8
122,2019-09-18 15:42:00,222.488,225.8968153846154,222.22799999999998,222.358,2.9325,09/18 15:42,8
123,2019-09-18 15:43:00,222.388,225.47081538461558,222.187,222.398,2.1675,09/18 15:43,8
124,2019-09-18 15:44:00,222.408,225.65681538461544,222.297,222.388,2.95,09/18 15:44,8
125,2019-09-18 15:45:00,222.39700000000002,225.8968153846154,222.237,222.268,3.49,09/18 15:45,8
126,2019-09-18 15:46:00,222.278,224.93681538461541,222.22799999999998,222.22799999999998,2.22,09/18 15:46,8
127,2019-09-18 15:47:00,222.247,224.63681538461535,222.138,222.227,1.8625,09/18 15:47,8
128,2019-09-18 15:48:00,222.22799999999998,224.63681538461535,222.09799999999998,222.25799999999998,2.405,09/18 15:48,8
129,2019-09-18 15:49:00,222.267,225.47681538461543,222.257,222.39700000000002,2.435,09/18 15:49,8
130,2019-09-18 15:50:00,222.408,225.6508153846154,222.248,222.298,2.6425,09/18 15:50,8
131,2019-09-18 15:51:00,222.297,224.87081538461544,222.208,222.308,2.7425,09/18 15:51,8
132,2019-09-18 15:52:00,222.308,224.7568153846154,222.207,222.28799999999998,2.1,09/18 15:52,8
133,2019-09-18 15:53:00,222.298,224.93681538461541,222.257,222.298,2.4125,09/18 15:53,8
134,2019-09-18 15:54:00,222.297,224.99681538461536,222.267,222.34799999999998,2.135,09/18 15:54,8
135,2019-09-18 15:55:00,222.358,225.6508153846154,222.30700000000002,222.358,2.705,09/18 15:55,9
136,2019-09-18 15:56:00,222.347,226.13681538461535,222.328,222.498,2.2725,09/18 15:56,9
137,2019-09-18 15:57:00,222.50799999999998,227.2168153846154,222.487,222.718,2.4325,09/18 15:57,9
138,2019-09-18 15:58:00,222.717,227.27681538461533,222.547,222.58700000000002,2.5875,09/18 15:58,9
139,2019-09-18 15:59:00,222.58700000000002,227.87681538461547,222.58700000000002,222.708,3.8375,09/18 15:59,9
140,2019-09-19 09:30:00,222.128,225.59681538461533,222.028,222.377,0.87,09/19 09:30,9
141,2019-09-19 09:31:00,222.328,226.73681538461548,222.328,222.458,1.7625,09/19 09:31,9
142,2019-09-19 09:32:00,222.467,228.95681538461534,222.467,222.618,3.2925,09/19 09:32,9
143,2019-09-19 09:33:00,222.637,227.63681538461535,222.237,222.377,2.64,09/19 09:33,9
144,2019-09-19 09:34:00,222.398,225.53681538461538,222.157,222.268,2.26,09/19 09:34,9
145,2019-09-19 09:35:00,222.267,225.29681538461543,222.088,222.398,2.51,09/19 09:35,9
146,2019-09-19 09:36:00,222.398,228.83681538461545,222.398,222.78799999999998,3.795,09/19 09:36,9
147,2019-09-19 09:37:00,222.797,228.05681538461548,222.697,222.838,2.4875,09/19 09:37,9
148,2019-09-19 09:38:00,222.84799999999998,228.41081538461546,222.727,222.838,3.7275,09/19 09:38,9
149,2019-09-19 09:39:00,222.858,228.47681538461543,222.69799999999998,222.69799999999998,3.07,09/19 09:39,9
150,2019-09-19 09:40:00,222.718,227.27681538461533,222.44799999999998,222.487,3.3675,09/19 09:40,10
151,2019-09-19 09:41:00,222.477,226.0768153846154,222.30700000000002,222.34799999999998,2.6775,09/19 09:41,10
152,2019-09-19 09:42:00,222.36700000000002,225.47681538461543,222.308,222.34799999999998,1.8125,09/19 09:42,10
153,2019-09-19 09:43:00,222.34799999999998,226.49681538461536,222.308,222.59799999999998,2.7125,09/19 09:43,10
154,2019-09-19 09:44:00,222.59799999999998,228.47681538461543,222.59799999999998,222.828,2.8025,09/19 09:44,10
155,2019-09-19 09:45:00,222.808,227.99681538461536,222.59799999999998,222.628,2.5275,09/19 09:45,10
156,2019-09-19 09:46:00,222.638,226.85681538461537,222.438,222.528,2.03,09/19 09:46,10
157,2019-09-19 09:47:00,222.507,226.37681538461547,222.368,222.408,1.8275,09/19 09:47,10
158,2019-09-19 09:48:00,222.39700000000002,226.85681538461537,222.378,222.637,2.565,09/19 09:48,10
159,2019-09-19 09:49:00,222.667,227.51681538461546,222.618,222.768,1.855,09/19 09:49,10
160,2019-09-19 09:50:00,222.798,228.29681538461543,222.588,222.75799999999998,2.7925,09/19 09:50,10
161,2019-09-19 09:51:00,222.738,227.5768153846154,222.667,222.678,1.7675,09/19 09:51,10
162,2019-09-19 09:52:00,222.687,227.15681538461544,222.497,222.518,2.3575,09/19 09:52,10
163,2019-09-19 09:53:00,222.528,226.19681538461546,222.457,222.52700000000002,2.09,09/19 09:53,10
164,2019-09-19 09:54:00,222.52700000000002,227.2168153846154,222.498,222.64700000000002,2.3825,09/19 09:54,10
165,2019-09-19 09:55:00,222.658,227.69681538461546,222.64700000000002,222.707,1.5525,09/19 09:55,11
166,2019-09-19 09:56:00,222.718,228.4168153846155,222.708,222.868,2.335,09/19 09:56,11
167,2019-09-19 09:57:00,222.86700000000002,228.29681538461543,222.798,222.878,1.7325,09/19 09:57,11
168,2019-09-19 09:58:00,222.887,229.13681538461535,222.887,223.018,1.88,09/19 09:58,11
169,2019-09-19 09:59:00,223.03799999999998,230.2168153846154,222.878,222.917,2.9025,09/19 09:59,11
170,2019-09-19 10:00:00,222.898,228.77681538461533,222.81799999999998,222.937,3.165,09/19 10:00,11
171,2019-09-19 10:01:00,222.938,229.31681538461535,222.778,222.81799999999998,2.4775,09/19 10:01,11
172,2019-09-19 10:02:00,222.828,228.59681538461533,222.707,222.928,2.735,09/19 10:02,11
173,2019-09-19 10:03:00,222.94799999999998,228.59681538461533,222.567,222.638,3.18,09/19 10:03,11
174,2019-09-19 10:04:00,222.637,227.5768153846154,222.637,222.75799999999998,2.115,09/19 10:04,11
175,2019-09-19 10:05:00,222.75799999999998,228.41081538461546,222.75799999999998,222.917,2.6775,09/19 10:05,11
176,2019-09-19 10:06:00,222.928,228.71081538461553,222.89700000000002,222.92700000000002,2.2925,09/19 10:06,11
177,2019-09-19 10:07:00,222.938,228.7168153846154,222.80700000000002,222.968,2.2275,09/19 10:07,11
178,2019-09-19 10:08:00,222.967,229.0768153846154,222.86700000000002,222.898,1.9675,09/19 10:08,11
179,2019-09-19 10:09:00,222.907,228.83681538461545,222.868,222.938,2.155,09/19 10:09,11
180,2019-09-19 10:10:00,222.928,229.01681538461546,222.83700000000002,222.83700000000002,2.3775,09/19 10:10,12
181,2019-09-19 10:11:00,222.847,228.47681538461543,222.838,222.918,2.5625,09/19 10:11,12
182,2019-09-19 10:12:00,222.908,228.59681538461533,222.847,222.84799999999998,1.995,09/19 10:12,12
183,2019-09-19 10:13:00,222.86700000000002,228.47681538461543,222.847,222.858,1.7925,09/19 10:13,12
184,2019-09-19 10:14:00,222.868,228.53681538461538,222.827,222.928,2.17,09/19 10:14,12
