date, value
11/6/1992,0.698
11/9/1992,0.695
11/10/1992,0.689
11/11/1992,0.691
11/12/1992,0.695
11/13/1992,0.693
11/16/1992,0.687
11/17/1992,0.686
11/18/1992,0.688
11/19/1992,0.684
11/20/1992,0.686
11/23/1992,0.683
11/24/1992,0.685
11/25/1992,0.689
11/27/1992,0.689
11/30/1992,0.682
12/1/1992,0.684
12/2/1992,0.685
12/3/1992,0.696
12/4/1992,0.693
12/7/1992,0.694
12/8/1992,0.693
12/9/1992,0.694
12/10/1992,0.689
12/11/1992,0.69
12/14/1992,0.687
12/15/1992,0.689
12/16/1992,0.689
12/17/1992,0.69
12/18/1992,0.692
12/21/1992,0.692
12/22/1992,0.69
12/23/1992,0.69
12/24/1992,0.692
12/28/1992,0.689
12/29/1992,0.688
12/30/1992,0.688
12/31/1992,0.688
1/4/1993,0.681
1/5/1993,0.674
1/6/1993,0.67
1/7/1993,0.669
1/8/1993,0.672
1/11/1993,0.673
1/12/1993,0.673
1/13/1993,0.669
1/14/1993,0.671
1/15/1993,0.6745
1/18/1993,0.675
1/19/1993,0.671
1/20/1993,0.669
1/21/1993,0.671
1/22/1993,0.672
1/25/1993,0.672
1/26/1993,0.676
1/27/1993,0.674
1/28/1993,0.679
1/29/1993,0.679
2/1/1993,0.674
2/2/1993,0.679
2/3/1993,0.678
2/4/1993,0.681
2/5/1993,0.674
2/8/1993,0.67
2/9/1993,0.669
2/10/1993,0.672
2/11/1993,0.677
2/12/1993,0.677
2/16/1993,0.686
2/17/1993,0.687
2/18/1993,0.688
2/19/1993,0.69
2/22/1993,0.691
2/23/1993,0.697
2/24/1993,0.693
2/25/1993,0.696
2/26/1993,0.696
3/1/1993,0.705
3/2/1993,0.707
3/3/1993,0.706
3/4/1993,0.712
3/5/1993,0.708
3/8/1993,0.703
3/9/1993,0.701
3/10/1993,0.704
3/11/1993,0.706
3/12/1993,0.711
3/15/1993,0.705
3/16/1993,0.706
3/17/1993,0.709
3/18/1993,0.714
3/19/1993,0.717
3/22/1993,0.712
3/23/1993,0.705
3/24/1993,0.706
3/25/1993,0.707
3/26/1993,0.709
3/29/1993,0.706
3/30/1993,0.71
3/31/1993,0.705
4/1/1993,0.696
4/2/1993,0.697
4/5/1993,0.702
4/6/1993,0.707
4/7/1993,0.706
4/8/1993,0.709
4/12/1993,0.712
4/13/1993,0.718
4/14/1993,0.721
4/15/1993,0.72
4/16/1993,0.716
4/19/1993,0.718
4/20/1993,0.716
4/21/1993,0.715
4/22/1993,0.709
4/23/1993,0.715
4/26/1993,0.721
4/27/1993,0.715
4/28/1993,0.714
4/29/1993,0.71
4/30/1993,0.706
5/3/1993,0.706
5/4/1993,0.698
5/5/1993,0.703
5/6/1993,0.706
5/7/1993,0.708
5/10/1993,0.702
5/11/1993,0.702
5/12/1993,0.702
5/13/1993,0.704
5/14/1993,0.703
5/17/1993,0.701
5/18/1993,0.692
5/19/1993,0.691
5/20/1993,0.696
5/21/1993,0.695
5/24/1993,0.694
5/25/1993,0.7
5/26/1993,0.698
5/27/1993,0.692
5/28/1993,0.686
6/1/1993,0.678
6/2/1993,0.676
6/3/1993,0.679
6/4/1993,0.676
6/7/1993,0.671
6/8/1993,0.669
6/9/1993,0.675
6/10/1993,0.676
6/11/1993,0.679
6/14/1993,0.674
6/15/1993,0.677
6/16/1993,0.676
6/17/1993,0.672
6/18/1993,0.677
6/21/1993,0.685
6/22/1993,0.683
6/23/1993,0.674
6/24/1993,0.668
6/25/1993,0.67
6/28/1993,0.668
6/29/1993,0.669
6/30/1993,0.666
7/1/1993,0.669
7/2/1993,0.669
7/6/1993,0.677
7/7/1993,0.679
7/8/1993,0.684
7/9/1993,0.68
7/12/1993,0.679
7/13/1993,0.676
7/14/1993,0.676
7/15/1993,0.681
7/16/1993,0.679
7/19/1993,0.675
7/20/1993,0.678
7/21/1993,0.678
7/22/1993,0.674
7/23/1993,0.679
7/26/1993,0.679
7/27/1993,0.677
7/28/1993,0.677
7/29/1993,0.682
7/30/1993,0.689
8/2/1993,0.691
8/3/1993,0.69
8/4/1993,0.689
8/5/1993,0.68
8/6/1993,0.681
8/9/1993,0.681
8/10/1993,0.686
8/11/1993,0.683
8/12/1993,0.676
8/13/1993,0.676
8/16/1993,0.679
8/17/1993,0.673
8/18/1993,0.675
8/19/1993,0.68
8/20/1993,0.676
8/23/1993,0.668
8/24/1993,0.669
8/25/1993,0.672
8/26/1993,0.669
8/27/1993,0.665
8/30/1993,0.67
8/31/1993,0.673
9/1/1993,0.666
9/2/1993,0.656
9/3/1993,0.647
9/7/1993,0.65
9/8/1993,0.659
9/9/1993,0.655
9/10/1993,0.649
9/13/1993,0.651
9/14/1993,0.645
9/15/1993,0.649
9/16/1993,0.649
9/17/1993,0.651
9/20/1993,0.65
9/21/1993,0.656
9/22/1993,0.655
9/23/1993,0.654
9/24/1993,0.654
9/27/1993,0.649
9/28/1993,0.647
9/29/1993,0.646
9/30/1993,0.646
10/1/1993,0.648
10/4/1993,0.645
10/5/1993,0.646
10/6/1993,0.654
10/7/1993,0.654
10/8/1993,0.659
10/11/1993,0.66
10/12/1993,0.661
10/13/1993,0.661
10/14/1993,0.664
10/15/1993,0.663
10/18/1993,0.661
10/19/1993,0.664
10/20/1993,0.669
10/21/1993,0.67
10/22/1993,0.669
10/25/1993,0.669
10/26/1993,0.667
10/27/1993,0.666
10/28/1993,0.666
10/29/1993,0.666
11/1/1993,0.674
11/2/1993,0.674
11/3/1993,0.676
11/4/1993,0.674
11/5/1993,0.675
11/8/1993,0.666
11/9/1993,0.666
11/10/1993,0.663
11/11/1993,0.66
11/12/1993,0.659
11/15/1993,0.656
11/16/1993,0.658
11/17/1993,0.663
11/18/1993,0.66
11/19/1993,0.663
11/22/1993,0.661
11/23/1993,0.663
11/24/1993,0.664
11/26/1993,0.662
11/29/1993,0.657
11/30/1993,0.659
12/1/1993,0.658
12/2/1993,0.666
12/3/1993,0.668
12/6/1993,0.671
12/7/1993,0.667
12/8/1993,0.672
12/9/1993,0.67
12/10/1993,0.671
12/13/1993,0.671
12/14/1993,0.674
12/15/1993,0.675
12/16/1993,0.674
12/17/1993,0.679
12/20/1993,0.678
12/21/1993,0.679
12/22/1993,0.68
12/23/1993,0.678
12/27/1993,0.679
12/28/1993,0.679
12/29/1993,0.674
12/30/1993,0.676
12/31/1993,0.679
1/3/1994,0.679
1/4/1994,0.685
1/5/1994,0.685
1/6/1994,0.685
1/7/1994,0.686
1/10/1994,0.687
1/11/1994,0.69
1/12/1994,0.691
1/13/1994,0.691
1/14/1994,0.689
1/17/1994,0.695
1/18/1994,0.697
1/19/1994,0.701
1/20/1994,0.703
1/21/1994,0.702
1/24/1994,0.703
1/25/1994,0.708
1/26/1994,0.708
1/27/1994,0.707
1/28/1994,0.709
1/31/1994,0.709
2/1/1994,0.715
2/2/1994,0.715
2/3/1994,0.714
2/4/1994,0.711
2/7/1994,0.715
2/8/1994,0.717
2/9/1994,0.717
2/10/1994,0.718
2/11/1994,0.716
2/14/1994,0.708
2/15/1994,0.709
2/16/1994,0.713
2/17/1994,0.717
2/18/1994,0.714
2/22/1994,0.723
2/23/1994,0.724
2/24/1994,0.724
2/25/1994,0.718
2/28/1994,0.713
3/1/1994,0.711
3/2/1994,0.706
3/3/1994,0.706
3/4/1994,0.714
3/7/1994,0.717
3/8/1994,0.716
3/9/1994,0.715
3/10/1994,0.707
3/11/1994,0.715
3/14/1994,0.718
3/15/1994,0.718
3/16/1994,0.714
3/17/1994,0.712
3/18/1994,0.712
3/21/1994,0.708
3/22/1994,0.711
3/23/1994,0.712
3/24/1994,0.706
3/25/1994,0.711
3/28/1994,0.71
